Date,Open,High,Low ,Close,Volume
15-Jul-16,1010,1020.65,1003.85,1012.55,357608
14-Jul-16,1008,1014.6,999.05,1006.45,144511
13-Jul-16,1003,1015.8,1002,1008.45,420670
12-Jul-16,992.5,1004.05,991,1002.1,261152
11-Jul-16,988.05,994.9,985.5,990.75,165538
08-Jul-16,988,989,978.55,980.1,276679
07-Jul-16,993.45,1000,986.75,987.9,205672
05-Jul-16,989.95,1002.8,980.5,992.95,258358
04-Jul-16,978,992.35,976.2,986.65,211611
01-Jul-16,973.5,976.45,970.2,973.65,149225
30-Jun-16,971,977.75,967.35,969.45,249804
29-Jun-16,961,968.8,960.3,966.85,169890
28-Jun-16,957.5,961.55,956,958.2,152345
27-Jun-16,949.85,958.8,944,956.1,266573
24-Jun-16,966,966,934.4,951.5,713656
23-Jun-16,980,983.45,970,981.9,219671
22-Jun-16,986.95,986.95,977,980.5,385463
21-Jun-16,995,995,980.2,987.25,347776
20-Jun-16,965,993,965,990.55,355228
17-Jun-16,977,978.9,970,973.25,159014
16-Jun-16,981.9,983.5,967.5,974.55,189485
15-Jun-16,977.5,984.9,973.5,982.4,168059
14-Jun-16,982,984.5,969.3,974.9,134051
13-Jun-16,970,983.3,964,979.3,189663
10-Jun-16,973,984.2,968.7,975.65,226144
09-Jun-16,958.05,977,958,971.45,318681
08-Jun-16,957,958,950.2,954.15,183907
07-Jun-16,956,961.1,951.8,954.65,175267
06-Jun-16,959,962.75,953,955.9,157434
03-Jun-16,957.5,963.6,955.4,957.95,144389
02-Jun-16,956.1,957.25,945.25,956,172276
01-Jun-16,958.8,966.5,951.25,953.3,187746
31-May-16,968.9,972.5,956.2,958.95,196964
30-May-16,975,981.45,966,969.45,215289
27-May-16,951.5,975.7,949.5,972.65,306408
26-May-16,950.55,953,944.25,946.65,196930
25-May-16,949.2,951.9,941.6,949.25,181679
24-May-16,930.9,943.35,929,940.05,191480
23-May-16,938.4,940,925.7,930,479357
20-May-16,951.15,954.6,932.35,934.1,380536
19-May-16,971.15,971.7,946.15,950.55,207759
18-May-16,967,972.75,965.2,970.15,146038
17-May-16,980,983.3,966.65,970.2,176081
16-May-16,978.25,982.05,972,976.15,182427
13-May-16,988,990.9,975.5,978,186873
12-May-16,977,992.45,975.7,991.05,218644
11-May-16,973,980.45,971,974.85,155682
10-May-16,982,984.85,978.05,981.35,110977
09-May-16,975,986,972.5,982.95,186660
06-May-16,975,976.95,967.5,969.15,225888
05-May-16,982.25,983.5,971.1,975.05,253122
04-May-16,976,983.65,974.25,977.5,227280
03-May-16,989.8,994.7,972.6,976.05,282136
02-May-16,981.4,992.5,977.05,986.3,225517
29-Apr-16,995.7,998.75,977.85,982.55,477000
28-Apr-16,1019.7,1019.7,992,997.35,676909
27-Apr-16,1019.9,1025.85,1015.1,1019.7,219250
26-Apr-16,1017,1023.85,1008,1016.8,411535
25-Apr-16,1042.7,1044.9,1012.75,1016.15,628843
22-Apr-16,1041,1047.75,1030.5,1038.75,242213
21-Apr-16,1044.9,1051.5,1035,1040.9,232079
20-Apr-16,1068.2,1070,1035.35,1038.3,261813
18-Apr-16,1065.45,1065.7,1055,1061.75,375048
13-Apr-16,1052,1068.3,1052,1065.45,421477
12-Apr-16,1040.3,1057,1038.6,1047.15,193213
11-Apr-16,1035.2,1045,1033.3,1039.85,167315
08-Apr-16,1033.5,1054,1032.05,1037.85,259195
07-Apr-16,1032,1048,1023.25,1037.95,170492
06-Apr-16,1030.8,1035.9,1022.2,1031.45,87590
05-Apr-16,1030,1042,1022.65,1028.1,207501
04-Apr-16,1036.15,1042.45,1024.45,1035.15,116143
01-Apr-16,1039,1045.9,1026.4,1033.65,205416
31-Mar-16,1043,1055.95,1034.1,1045.25,292735
30-Mar-16,1040.35,1050.9,1040.25,1044.9,225448
29-Mar-16,1023.05,1040.9,1022.4,1035.4,246687
28-Mar-16,1029,1031.95,1015.5,1020.5,304410
23-Mar-16,1047,1047,1023,1029.35,350489
22-Mar-16,1038.1,1052.5,1036.75,1048.5,302113
21-Mar-16,1027.2,1039,1023.5,1036.2,202295
18-Mar-16,1019,1028.4,1016.25,1025.2,827348
17-Mar-16,1028,1036.4,1012.4,1015.55,201404
16-Mar-16,1021,1025.7,1005.4,1021.75,164645
15-Mar-16,1021,1026.95,1016,1020.4,191800
14-Mar-16,1018.15,1026,1013,1018.55,206014
11-Mar-16,1016.5,1029.5,1011.3,1015.65,248065
